B,G,R,Target
38,28,30,Hitam
41,28,32,Hitam
44,31,34,Hitam
46,31,36,Hitam
46,34,38,Hitam
50,35,39,Hitam
93,66,73,Hitam
116,92,99,Hitam
118,92,101,Hitam
118,92,101,Hitam
118,92,101,Hitam
119,92,100,Hitam
119,92,100,Hitam
119,92,100,Hitam
118,94,100,Hitam
128,104,113,Hitam
130,110,117,Hitam
130,110,117,Hitam
130,110,117,Hitam
128,110,117,Hitam
128,110,117,Hitam
128,110,117,Hitam
129,109,116,Hitam
129,109,116,Hitam
129,109,116,Hitam
135,115,125,Hitam
116,94,102,Hitam
123,101,110,Hitam
127,105,112,Hitam
128,106,114,Hitam
131,109,119,Hitam
133,112,121,Hitam
152,254,169,Hijau
154,254,173,Hijau
153,255,172,Hijau
153,255,172,Hijau
153,255,172,Hijau
153,255,172,Hijau
154,254,173,Hijau
154,254,173,Hijau
154,254,173,Hijau
155,254,172,Hijau
154,255,172,Hijau
154,254,172,Hijau
